, 13.1.2025, 10:56
Diameter[mm] 1.500e+01  Thickness[mm] 2.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	 Sig' [S/cm]	 Sig'' [S/cm]	  Cp' [F]	 Zp' [Ohms]	M Temp [K]	M Time M[s]
 3.0518e+01	 5.8990e+02	 1.8850e+00	 9.9337e-02	 1.6857e-12	-1.5018e-11	 1.4740e-11	 6.7139e+09	 2.9628e+02	 6.3743e+02
 1.5259e+01	 5.8990e+02	 1.9235e+00	 1.4072e-01	 1.1940e-12	-7.8357e-12	 1.5041e-11	 9.4787e+09	 2.9637e+02	 6.4031e+02
 7.6294e+00	 5.8990e+02	 2.0033e+00	 2.0709e-01	 8.7856e-13	-4.2566e-12	 1.5665e-11	 1.2882e+10	 2.9648e+02	 6.4351e+02
 1.9073e+00	 5.8990e+02	 2.2431e+00	 4.2661e-01	 4.5247e-13	-1.3185e-12	 1.7540e-11	 2.5013e+10	 2.9659e+02	 6.4687e+02
 4.7684e-01	 5.8990e+02	 2.1792e+00	 1.0611e+00	 2.8136e-13	-3.1267e-13	 1.7041e-11	 4.0225e+10	 2.9715e+02	 6.6537e+02
 1.0000e-01	 5.8990e+02	 3.5016e+00	 7.3815e-01	 4.1046e-14	-1.3910e-13	 2.7381e-11	 2.7573e+11	 2.9871e+02	 7.1389e+02
 1.0000e+06	 7.1110e+02	 1.6232e+00	 2.8564e-01	 1.5883e-07	-3.4655e-07	 1.2693e-11	 7.1255e+04	 2.9884e+02	 7.1818e+02
 5.0000e+05	 7.1110e+02	 1.6588e+00	 2.2413e-01	 6.2315e-08	-1.8317e-07	 1.2971e-11	 1.8162e+05	 2.9891e+02	 7.2062e+02
 2.5000e+05	 7.1110e+02	 1.6908e+00	 1.2205e-01	 1.6966e-08	-9.6039e-08	 1.3222e-11	 6.6707e+05	 2.9901e+02	 7.2329e+02
 1.2500e+05	 7.1110e+02	 1.7110e+00	 9.2318e-02	 6.4168e-09	-4.9418e-08	 1.3379e-11	 1.7638e+06	 2.9911e+02	 7.2712e+02
 6.2500e+04	 7.1110e+02	 1.7313e+00	 3.5611e-02	 1.2376e-09	-2.5415e-08	 1.3538e-11	 9.1447e+06	 2.9920e+02	 7.2984e+02
 3.1250e+04	 7.1110e+02	 1.7383e+00	 3.2423e-02	 5.6342e-10	-1.2829e-08	 1.3593e-11	 2.0088e+07	 2.9931e+02	 7.3322e+02
 1.5625e+04	 7.1110e+02	 1.7407e+00	 4.3719e-02	 3.7985e-10	-6.4351e-09	 1.3611e-11	 2.9795e+07	 2.9937e+02	 7.3576e+02
 7.8125e+03	 7.1110e+02	 1.7736e+00	 4.5870e-02	 1.9927e-10	-3.3605e-09	 1.3869e-11	 5.6796e+07	 2.9949e+02	 7.3925e+02
 3.9062e+03	 7.1110e+02	 1.7826e+00	 3.6104e-02	 7.8422e-11	-1.6999e-09	 1.3939e-11	 1.4432e+08	 2.9957e+02	 7.4178e+02
 1.9531e+03	 7.1110e+02	 1.7904e+00	 3.1782e-02	 3.4518e-11	-8.5839e-10	 1.4000e-11	 3.2788e+08	 2.9967e+02	 7.4456e+02
 9.7656e+02	 7.1110e+02	 1.8087e+00	 3.9614e-02	 2.1512e-11	-4.3917e-10	 1.4144e-11	 5.2611e+08	 2.9972e+02	 7.4718e+02
 4.8828e+02	 7.1110e+02	 1.8177e+00	 4.9421e-02	 1.3418e-11	-2.2201e-10	 1.4213e-11	 8.4344e+08	 2.9983e+02	 7.5003e+02
 2.4414e+02	 7.1110e+02	 1.8386e+00	 5.6828e-02	 7.7148e-12	-1.1384e-10	 1.4377e-11	 1.4670e+09	 2.9993e+02	 7.5322e+02
 1.2207e+02	 7.1110e+02	 1.8611e+00	 7.1170e-02	 4.8309e-12	-5.8450e-11	 1.4553e-11	 2.3427e+09	 3.0003e+02	 7.5634e+02
 6.1035e+01	 7.1110e+02	 1.8840e+00	 1.0315e-01	 3.5008e-12	-3.0003e-11	 1.4732e-11	 3.2329e+09	 3.0009e+02	 7.5893e+02
 3.0518e+01	 7.1110e+02	 1.9153e+00	 1.3248e-01	 2.2482e-12	-1.5532e-11	 1.4977e-11	 5.0341e+09	 3.0019e+02	 7.6250e+02
